4 0 6.55032e-15 0.0249644 0.0249644 0.547438 0.547438 0.547438 0.547438 0.547438 0.547438 0.552324 0.552324 0.570007 0.570007 0.574829 0.574829 0.574829 0.574829 0.574829 0.574829 1.09477 1.09477 1.09477 1.09477 1.09744 1.09744 1.09744 1.09744 1.09744 1.09744 1.10205 1.10205 1.11755 1.11755 1.12217 1.12217 1.12217 1.12217 1.12217 1.12217 1.12483 1.12483 1.12483 1.12483 1.64478 1.64478 1.64478 1.64478 1.64478 1.64478 1.6496 1.6496 1.66728 1.66728 1.67217 1.67217 1.67217 1.67217 1.67217 1.67217 1.75746 1.75746 1.75746 1.75746 1.75746 1.75746 1.75824 1.75824 1.78204 1.78204 1.78281 1.78281 1.78281 1.78281 1.78281 1.78281 2.19464 2.19464 2.2196 2.2196 2.30486 2.30486 2.30486 2.30486 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30489 2.30545 2.30545 2.30548 2.30548 
6 0 3.41396e-10 0.0459092 0.0459092 0.576068 0.576068 0.576068 0.576068 0.576068 0.576068 0.598237 0.598237 0.611747 0.611747 0.632749 0.632749 0.632749 0.632749 0.632749 0.632749 1.15118 1.15118 1.15118 1.15118 1.16458 1.16458 1.16458 1.16458 1.16458 1.16458 1.18356 1.18356 1.18886 1.18886 1.20786 1.20786 1.20786 1.20786 1.20786 1.20786 1.22127 1.22127 1.22127 1.22127 1.73968 1.73968 1.73968 1.73968 1.73968 1.73968 1.76066 1.76066 1.77418 1.77418 1.77447 1.77447 1.77447 1.77447 1.77447 1.77447 1.77871 1.77871 1.79636 1.79636 1.79636 1.79636 1.79636 1.79636 1.81855 1.81855 1.8224 1.8224 1.8224 1.8224 1.8224 1.8224 2.32648 2.32648 2.35014 2.35014 2.35014 2.35014 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35052 2.35354 2.35354 2.35387 2.35387 2.35387 2.35387 
8 0 1.37021e-09 0.0623 0.0623 0.632409 0.632409 0.632409 0.632409 0.632409 0.632409 0.665764 0.665764 0.703724 0.703724 0.727536 0.727536 0.727536 0.727536 0.727536 0.727536 1.25894 1.25894 1.25894 1.25894 1.30562 1.30562 1.31095 1.31095 1.31095 1.31095 1.31095 1.31095 1.35397 1.35397 1.35397 1.35397 1.35397 1.35397 1.35884 1.35884 1.4062 1.4062 1.4062 1.4062 1.81474 1.81474 1.81474 1.81474 1.81474 1.81474 1.83482 1.83482 1.87082 1.87082 1.88576 1.88576 1.88576 1.88576 1.88576 1.88576 1.93757 1.93757 1.93757 1.93757 1.93757 1.93757 1.96107 1.96107 1.9988 1.9988 2.03271 2.03271 2.03271 2.03271 2.03271 2.03271 2.44389 2.44389 2.44389 2.44389 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.44708 2.46114 2.46114 2.46456 2.46456 2.46456 2.46456 2.46456 2.46456 
10 0 2.56484e-09 0.0571798 0.0571798 0.72551 0.72551 0.72551 0.72551 0.72551 0.72551 0.733232 0.733232 0.840919 0.840919 0.840919 0.840919 0.840919 0.840919 0.856789 0.856789 1.43035 1.43035 1.43035 1.43035 1.48729 1.48729 1.54465 1.54465 1.54465 1.54465 1.54465 1.54465 1.55482 1.55482 1.55482 1.55482 1.55482 1.55482 1.60608 1.60608 1.67209 1.67209 1.67209 1.67209 1.90459 1.90459 1.90459 1.90459 1.90459 1.90459 1.9498 1.9498 1.97631 1.97631 1.98957 1.98957 1.98957 1.98957 1.98957 1.98957 2.24 2.24 2.25945 2.25945 2.25945 2.25945 2.25945 2.25945 2.36022 2.36022 2.37587 2.37587 2.37587 2.37587 2.37587 2.37587 2.61114 2.61114 2.61114 2.61114 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.62871 2.6528 2.6528 2.6528 2.6528 2.6528 2.6528 2.66944 2.66944 
12 0 3.32389e-09 0.036874 0.036874 0.829927 0.829927 0.845373 0.845373 0.845373 0.845373 0.845373 0.845373 0.941032 0.941032 0.941032 0.941032 0.941032 0.941032 0.972255 0.972255 1.65346 1.65346 1.65346 1.65346 1.71588 1.71588 1.74527 1.74527 1.74527 1.74527 1.74527 1.74527 1.80585 1.80585 1.80585 1.80585 1.80585 1.80585 1.81526 1.81526 1.90792 1.90792 1.90792 1.90792 2.07808 2.07808 2.07808 2.07808 2.07808 2.07808 2.09645 2.09645 2.16721 2.16721 2.16721 2.16721 2.16721 2.16721 2.21094 2.21094 2.56885 2.56885 2.61155 2.61155 2.61155 2.61155 2.61155 2.61155 2.70376 2.70376 2.71253 2.71253 2.71253 2.71253 2.71253 2.71253 2.86378 2.86378 2.86378 2.86378 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.91862 2.93002 2.93002 2.93002 2.93002 2.93002 2.93002 2.9591 2.9591 
14 0 3.84154e-09 0.0186774 0.0186774 0.934038 0.934038 0.950755 0.950755 0.950755 0.950755 0.950755 0.950755 1.00658 1.00658 1.00658 1.00658 1.00658 1.00658 1.0271 1.0271 1.86791 1.86791 1.86791 1.86791 1.91507 1.91507 1.92072 1.92072 1.92072 1.92072 1.92072 1.92072 1.96802 1.96802 1.976 1.976 1.976 1.976 1.976 1.976 2.03563 2.03563 2.03563 2.03563 2.30348 2.30348 2.31908 2.31908 2.31908 2.31908 2.31908 2.31908 2.38962 2.38962 2.38962 2.38962 2.38962 2.38962 2.43657 2.43657 2.86146 2.86146 2.89239 2.89239 2.89239 2.89239 2.89239 2.89239 2.95127 2.95127 2.95127 2.95127 2.95127 2.95127 2.95358 2.95358 3.18259 3.18259 3.18259 3.18259 3.23791 3.23791 3.23791 3.23791 3.23791 3.23791 3.26647 3.26647 3.26647 3.26647 3.26647 3.26647 3.26687 3.26687 3.26687 3.26687 3.26687 3.26687 3.26687 3.26687 
16 0 4.12205e-09 0.0082953 0.0082953 1.00437 1.00437 1.01362 1.01362 1.01362 1.01362 1.01362 1.01362 1.03973 1.03973 1.03973 1.03973 1.03973 1.03973 1.04951 1.04951 2.00869 2.00869 2.00869 2.00869 2.03396 2.03396 2.03396 2.03396 2.03396 2.03396 2.03503 2.03503 2.05932 2.05932 2.06388 2.06388 2.06388 2.06388 2.06388 2.06388 2.09087 2.09087 2.09087 2.09087 2.51415 2.51415 2.53537 2.53537 2.53537 2.53537 2.53537 2.53537 2.57636 2.57636 2.57636 2.57636 2.57636 2.57636 2.60324 2.60324 3.04621 3.04621 3.05927 3.05927 3.05927 3.05927 3.05927 3.05927 3.08583 3.08583 3.08583 3.08583 3.08583 3.08583 3.0916 3.0916 3.48323 3.48323 3.48323 3.48323 3.51099 3.51099 3.51099 3.51099 3.51099 3.51099 3.5413 3.5413 3.5413 3.5413 3.5413 3.5413 3.54875 3.54875 3.54875 3.54875 3.54875 3.54875 3.54875 3.54875 
18 0 4.25558e-09 0.00346661 0.00346661 1.03907 1.03907 1.04318 1.04318 1.04318 1.04318 1.04318 1.04318 1.05425 1.05425 1.05425 1.05425 1.05425 1.05425 1.05843 1.05843 2.07808 2.07808 2.07808 2.07808 2.089 2.089 2.089 2.089 2.089 2.089 2.09018 2.09018 2.10042 2.10042 2.10224 2.10224 2.10224 2.10224 2.10224 2.10224 2.11347 2.11347 2.11347 2.11347 2.65227 2.65227 2.66408 2.66408 2.66408 2.66408 2.66408 2.66408 2.68318 2.68318 2.68318 2.68318 2.68318 2.68318 2.69561 2.69561 3.13247 3.13247 3.13727 3.13727 3.13727 3.13727 3.13727 3.13727 3.14839 3.14839 3.14839 3.14839 3.14839 3.14839 3.15187 3.15187 3.67373 3.67373 3.67373 3.67373 3.68562 3.68562 3.68562 3.68562 3.68562 3.68562 3.70289 3.70289 3.70289 3.70289 3.70289 3.70289 3.70546 3.70546 3.70733 3.70733 3.70733 3.70733 3.70733 3.70733 
20 0 4.31028e-09 0.0014116 0.0014116 1.05403 1.05403 1.05573 1.05573 1.05573 1.05573 1.05573 1.05573 1.06027 1.06027 1.06027 1.06027 1.06027 1.06027 1.06198 1.06198 2.10803 2.10803 2.10803 2.10803 2.11254 2.11254 2.11254 2.11254 2.11254 2.11254 2.11314 2.11314 2.11731 2.11731 2.11802 2.11802 2.11802 2.11802 2.11802 2.11802 2.12258 2.12258 2.12258 2.12258 2.71888 2.71888 2.72409 2.72409 2.72409 2.72409 2.72409 2.72409 2.73216 2.73216 2.73216 2.73216 2.73216 2.73216 2.73743 2.73743 3.16853 3.16853 3.17035 3.17035 3.17035 3.17035 3.17035 3.17035 3.17488 3.17488 3.17488 3.17488 3.17488 3.17488 3.17648 3.17648 3.76523 3.76523 3.76523 3.76523 3.77009 3.77009 3.77009 3.77009 3.77009 3.77009 3.77788 3.77788 3.77788 3.77788 3.77788 3.77788 3.77848 3.77848 3.77985 3.77985 3.77985 3.77985 3.77985 3.77985 
22 0 4.33263e-09 0.000568716 0.000568716 1.06018 1.06018 1.06087 1.06087 1.06087 1.06087 1.06087 1.06087 1.0627 1.0627 1.0627 1.0627 1.0627 1.0627 1.0634 1.0634 2.12036 2.12036 2.12036 2.12036 2.12218 2.12218 2.12218 2.12218 2.12218 2.12218 2.12244 2.12244 2.12412 2.12412 2.1244 2.1244 2.1244 2.1244 2.1244 2.1244 2.12624 2.12624 2.12624 2.12624 2.7473 2.7473 2.74946 2.74946 2.74946 2.74946 2.74946 2.74946 2.75275 2.75275 2.75275 2.75275 2.75275 2.75275 2.75491 2.75491 3.18318 3.18318 3.18389 3.18389 3.18389 3.18389 3.18389 3.18389 3.18572 3.18572 3.18572 3.18572 3.18572 3.18572 3.18639 3.18639 3.80432 3.80432 3.80432 3.80432 3.80627 3.80627 3.80627 3.80627 3.80627 3.80627 3.80952 3.80952 3.80952 3.80952 3.80952 3.80952 3.80969 3.80969 3.81034 3.81034 3.81034 3.81034 3.81034 3.81034 
