4 0 1.13243e-14 0.238462 0.238462 0.540187 0.540187 0.540187 0.540187 0.540187 0.540187 0.60124 0.60124 0.755433 0.755433 0.805825 0.805825 0.805825 0.805825 0.805825 0.805825 1.08003 1.08003 1.08003 1.08003 1.11466 1.11466 1.11466 1.11466 1.11466 1.11466 1.16425 1.16425 1.29601 1.29601 1.34565 1.34565 1.34565 1.34565 1.34565 1.34565 1.38032 1.38032 1.38032 1.38032 1.6545 1.6545 1.6545 1.6545 1.6545 1.6545 1.70482 1.70482 1.75592 1.75592 1.75592 1.75592 1.75592 1.75592 1.76439 1.76439 1.85904 1.85904 1.92014 1.92014 1.92014 1.92014 1.92014 1.92014 1.99174 1.99174 1.99807 1.99807 1.99807 1.99807 1.99807 1.99807 2.22181 2.22181 2.29595 2.29595 2.29595 2.29595 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.2961 2.3023 2.3023 2.30239 2.30239 2.30239 2.30239 
6 0 4.81295e-09 0.348823 0.348823 0.550665 0.550665 0.550665 0.550665 0.550665 0.550665 0.845322 0.845322 0.887802 0.887802 0.970886 0.970886 0.970886 0.970886 0.970886 0.970886 1.09987 1.09987 1.09987 1.09987 1.3701 1.3701 1.3701 1.3701 1.3701 1.3701 1.39837 1.39837 1.4891 1.4891 1.52 1.52 1.52 1.52 1.52 1.52 1.76683 1.76683 1.76683 1.76683 1.76683 1.76683 1.79099 1.79099 1.79099 1.79099 1.82553 1.82553 1.91889 1.91889 1.91889 1.91889 1.91889 1.91889 2.00138 2.00138 2.04174 2.04174 2.11936 2.11936 2.13156 2.13156 2.13156 2.13156 2.13156 2.13156 2.31677 2.31677 2.31677 2.31677 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.31761 2.33973 2.33973 2.33973 2.33973 2.33973 2.33973 2.36351 2.36351 2.36351 2.36351 2.36351 2.36351 2.36354 2.36354 
8 0 1.10958e-08 0.372224 0.372224 0.56311 0.56311 0.56311 0.56311 0.56311 0.56311 0.86675 0.86675 1.01913 1.01913 1.01913 1.01913 1.01913 1.01913 1.12246 1.12246 1.12246 1.12246 1.35847 1.35847 1.45469 1.45469 1.57826 1.57826 1.57826 1.57826 1.57826 1.57826 1.78409 1.78409 1.78409 1.78409 1.78409 1.78409 1.87088 1.87088 1.87088 1.87088 1.87088 1.87088 1.941 1.941 2.06686 2.06686 2.20369 2.20369 2.20877 2.20877 2.20877 2.20877 2.20877 2.20877 2.29206 2.29206 2.34436 2.34436 2.34436 2.34436 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34732 2.34748 2.34748 2.34748 2.34748 2.40735 2.40735 2.40735 2.40735 2.40735 2.40735 2.51102 2.51102 2.66639 2.66639 2.73755 2.73755 2.73755 2.73755 2.73755 2.73755 2.79781 2.79781 2.79781 2.79781 2.79781 2.79781 
10 0 2.61843e-08 0.362438 0.362438 0.575912 0.575912 0.575912 0.575912 0.575912 0.575912 0.858637 0.858637 1.03481 1.03481 1.03481 1.03481 1.03481 1.03481 1.1449 1.1449 1.1449 1.1449 1.41638 1.41638 1.53226 1.53226 1.6033 1.6033 1.6033 1.6033 1.6033 1.6033 1.80486 1.80486 1.80486 1.80486 1.80486 1.80486 2.00036 2.00036 2.00036 2.00036 2.00036 2.00036 2.01962 2.01962 2.0975 2.0975 2.24869 2.24869 2.25043 2.25043 2.25043 2.25043 2.25043 2.25043 2.37403 2.37403 2.37403 2.37403 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.38089 2.51106 2.51106 2.51106 2.51106 2.51556 2.51556 2.51556 2.51556 2.51556 2.51556 2.6009 2.6009 2.66214 2.66214 2.80616 2.80616 2.80616 2.80616 2.80616 2.80616 2.83016 2.83016 2.83016 2.83016 2.83016 2.83016 2.84918 2.84918 
12 0 6.22174e-08 0.339415 0.339415 0.590146 0.590146 0.590146 0.590146 0.590146 0.590146 0.838603 0.838603 1.04146 1.04146 1.04146 1.04146 1.04146 1.04146 1.16943 1.16943 1.16943 1.16943 1.40506 1.40506 1.54171 1.54171 1.61975 1.61975 1.61975 1.61975 1.61975 1.61975 1.82665 1.82665 1.82665 1.82665 1.82665 1.82665 2.00133 2.00133 2.00133 2.00133 2.00133 2.00133 2.01379 2.01379 2.11269 2.11269 2.26778 2.26778 2.27025 2.27025 2.27025 2.27025 2.27025 2.27025 2.40467 2.40467 2.40467 2.40467 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.41682 2.51596 2.51596 2.51596 2.51596 2.51596 2.51596 2.51745 2.51745 2.51745 2.51745 2.61317 2.61317 2.66861 2.66861 2.83663 2.83663 2.83663 2.83663 2.83663 2.83663 2.85332 2.85332 2.85332 2.85332 2.85332 2.85332 2.88218 2.88218 
14 0 1.46358e-07 0.306177 0.306177 0.608586 0.608586 0.608586 0.608586 0.608586 0.608586 0.811915 0.811915 1.04456 1.04456 1.04456 1.04456 1.04456 1.04456 1.2009 1.2009 1.2009 1.2009 1.37826 1.37826 1.53567 1.53567 1.6349 1.6349 1.6349 1.6349 1.6349 1.6349 1.85083 1.85083 1.85083 1.85083 1.85083 1.85083 1.97684 1.97684 1.97684 1.97684 1.97684 1.97684 1.98831 1.98831 2.12646 2.12646 2.28067 2.28067 2.28258 2.28258 2.28258 2.28258 2.28258 2.28258 2.44004 2.44004 2.44004 2.44004 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.45914 2.48593 2.48593 2.48593 2.48593 2.49865 2.49865 2.49865 2.49865 2.49865 2.49865 2.60552 2.60552 2.66755 2.66755 2.85723 2.85723 2.85723 2.85723 2.85723 2.85723 2.87481 2.87481 2.87481 2.87481 2.87481 2.87481 2.91602 2.91602 
16 0 3.34024e-07 0.261754 0.261754 0.635589 0.635589 0.635589 0.635589 0.635589 0.635589 0.782393 0.782393 1.04639 1.04639 1.04639 1.04639 1.04639 1.04639 1.24649 1.24649 1.24649 1.24649 1.33695 1.33695 1.53418 1.53418 1.6533 1.6533 1.6533 1.6533 1.6533 1.6533 1.88264 1.88264 1.88264 1.88264 1.88264 1.88264 1.94457 1.94457 1.94457 1.94457 1.94457 1.94457 1.95311 1.95311 2.1453 2.1453 2.29377 2.29377 2.29377 2.29377 2.29377 2.29377 2.29707 2.29707 2.43465 2.43465 2.43465 2.43465 2.4827 2.4827 2.4827 2.4827 2.4827 2.4827 2.48754 2.48754 2.48754 2.48754 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.51705 2.58999 2.58999 2.66968 2.66968 2.87649 2.87649 2.87649 2.87649 2.87649 2.87649 2.90209 2.90209 2.90209 2.90209 2.90209 2.90209 2.95953 2.95953 
18 0 7.14698e-07 0.205367 0.205367 0.678218 0.678218 0.678219 0.678219 0.678219 0.678219 0.758721 0.758721 1.04822 1.04822 1.04822 1.04822 1.04822 1.04822 1.28056 1.28056 1.31801 1.31801 1.31801 1.31801 1.55309 1.55309 1.67989 1.67989 1.67989 1.67989 1.67989 1.67989 1.91514 1.91514 1.91684 1.91684 1.91684 1.91684 1.91684 1.91684 1.93168 1.93168 1.93168 1.93168 1.93169 1.93169 2.17363 2.17363 2.30915 2.30915 2.30915 2.30916 2.30916 2.30916 2.33126 2.33126 2.36804 2.36804 2.36804 2.36804 2.48776 2.48776 2.48776 2.48776 2.48776 2.48776 2.55886 2.55886 2.55886 2.55886 2.5699 2.5699 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.60604 2.69047 2.69047 2.90089 2.90089 2.90089 2.90089 2.90089 2.90089 2.94466 2.94466 2.94466 2.94466 2.94466 2.94466 2.95008 2.95008 
20 0 1.35026e-06 0.141054 0.141054 0.74626 0.74626 0.746261 0.746261 0.746262 0.746262 0.76095 0.76095 1.05104 1.05104 1.05104 1.05104 1.05104 1.05104 1.21392 1.21392 1.43398 1.43398 1.43398 1.43398 1.61466 1.61466 1.72392 1.72392 1.72392 1.72392 1.72392 1.72392 1.89083 1.89083 1.91506 1.91506 1.91506 1.91506 1.91506 1.91506 2.01497 2.01497 2.01497 2.01497 2.01497 2.01497 2.21084 2.21084 2.29274 2.29274 2.29274 2.29274 2.33666 2.33666 2.33666 2.33666 2.33666 2.33666 2.41444 2.41444 2.54743 2.54743 2.54743 2.54743 2.54743 2.54743 2.55297 2.55297 2.67248 2.67248 2.67248 2.67248 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75112 2.75276 2.75276 2.93753 2.93753 2.93753 2.93753 2.93753 2.93753 2.94413 2.94413 2.94414 2.94414 2.94414 2.94414 3.01637 3.01637 
22 0 2.10066e-06 0.0814634 0.0814634 0.814356 0.814357 0.842213 0.842213 0.842215 0.842215 0.842216 0.842216 1.05515 1.05515 1.05515 1.05515 1.05515 1.05515 1.15121 1.15121 1.60913 1.60914 1.60914 1.60914 1.73958 1.73958 1.80322 1.80322 1.80322 1.80322 1.80322 1.80322 1.91323 1.91324 1.96257 1.96257 1.96257 1.96257 1.96257 1.96257 2.15286 2.15286 2.15286 2.15286 2.15286 2.15286 2.22358 2.22358 2.22358 2.22358 2.25773 2.25773 2.39233 2.39233 2.39233 2.39233 2.39233 2.39233 2.5585 2.5585 2.58566 2.58566 2.6965 2.6965 2.6965 2.6965 2.6965 2.6965 2.85224 2.85224 2.85224 2.85224 2.87484 2.87484 2.97167 2.97167 2.97167 2.97167 2.97167 2.97167 2.97917 2.97917 2.97917 2.97918 2.97918 2.97918 2.97918 2.97918 2.97918 2.97918 2.97918 2.97918 3.04025 3.04025 3.04025 3.04025 3.04025 3.04025 3.13419 3.13419 
