2 5.70393 1.80378 0 1.22125e-14 0.0012496 0.0012496 0.528744 0.528744 0.528744 0.528744 0.528744 0.528744 0.528744 0.528744 0.529993 0.529993 0.529994 0.529994 0.529994 0.529994 0.529994 0.529994 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05749 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.05874 1.58623 1.58623 1.58623 1.58623 1.58623 1.58623 1.58623 1.58623 1.58748 1.58748 1.58748 1.58748 1.58748 1.58748 1.58748 1.58748 1.74675 1.74675 1.74675 1.74675 1.74675 1.74675 1.74675 1.74675 1.748 1.748 1.748 1.748 1.748 1.748 1.748 1.748 2.11498 2.11498 2.11623 2.11623 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 2.27549 
4 5.97499 2.73841 0 7.52731e-14 0.00312234 0.00312234 0.523833 0.523833 0.523833 0.523833 0.523833 0.523833 0.523836 0.523836 0.526955 0.526955 0.526957 0.526957 0.526957 0.526957 0.526957 0.526957 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.04767 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.05079 1.5715 1.5715 1.5715 1.5715 1.5715 1.5715 1.5715 1.5715 1.57462 1.57462 1.57462 1.57462 1.57462 1.57462 1.57462 1.57462 1.74555 1.74555 1.74555 1.74555 1.74555 1.74555 1.74555 1.74555 1.74867 1.74867 1.74867 1.74867 1.74867 1.74867 1.74867 1.74867 2.09534 2.09534 2.09846 2.09846 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 2.26938 
6 5.97619 2.7451 0 2.62013e-13 0.00779555 0.00779555 0.52318 0.52318 0.52318 0.52318 0.52318 0.52318 0.523193 0.523193 0.530968 0.530968 0.530982 0.530982 0.530982 0.530982 0.530982 0.530982 1.04636 1.04636 1.04636 1.04636 1.04637 1.04637 1.04637 1.04637 1.04637 1.04637 1.04638 1.04638 1.05415 1.05415 1.05416 1.05416 1.05416 1.05416 1.05416 1.05416 1.05417 1.05417 1.05417 1.05417 1.56955 1.56955 1.56955 1.56955 1.56955 1.56955 1.56956 1.56956 1.57733 1.57733 1.57735 1.57735 1.57735 1.57735 1.57735 1.57735 1.74539 1.74539 1.74539 1.74539 1.74539 1.74539 1.7454 1.7454 1.75319 1.75319 1.75319 1.75319 1.75319 1.75319 1.75319 1.75319 2.09273 2.09273 2.10053 2.10053 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26857 2.26858 2.26858 2.26858 2.26858 
8 5.9759 2.74539 0 5.8975e-13 0.0194247 0.0194247 0.523385 0.523385 0.523385 0.523385 0.523385 0.523385 0.523472 0.523472 0.542767 0.542767 0.542853 0.542853 0.542853 0.542853 0.542853 0.542853 1.04677 1.04677 1.04677 1.04677 1.04681 1.04681 1.04681 1.04681 1.04681 1.04681 1.0469 1.0469 1.06615 1.06615 1.06624 1.06624 1.06624 1.06624 1.06624 1.06624 1.06628 1.06628 1.06628 1.06628 1.5702 1.5702 1.5702 1.5702 1.5702 1.5702 1.57029 1.57029 1.58958 1.58958 1.58967 1.58967 1.58967 1.58967 1.58967 1.58967 1.74552 1.74552 1.74552 1.74552 1.74552 1.74552 1.74553 1.74553 1.76494 1.76494 1.76495 1.76495 1.76495 1.76495 1.76495 1.76495 2.09363 2.09363 2.11305 2.11305 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26891 2.26892 2.26892 
10 5.97479 2.74674 0 1.54099e-12 0.0481603 0.0481603 0.524135 0.524135 0.524135 0.524135 0.524135 0.524135 0.524677 0.524677 0.572025 0.572025 0.572566 0.572566 0.572566 0.572566 0.572566 0.572566 1.04827 1.04827 1.04827 1.04827 1.04854 1.04854 1.04854 1.04854 1.04854 1.04854 1.04908 1.04908 1.09616 1.09616 1.0967 1.0967 1.0967 1.0967 1.0967 1.0967 1.09697 1.09697 1.09697 1.09697 1.57268 1.57268 1.57268 1.57268 1.57268 1.57268 1.57322 1.57322 1.62057 1.62057 1.62111 1.62111 1.62111 1.62111 1.62111 1.62111 1.74591 1.74591 1.74591 1.74591 1.74591 1.74591 1.74598 1.74598 1.79403 1.79403 1.79411 1.79411 1.79411 1.79411 1.79411 1.79411 2.09708 2.09708 2.14524 2.14524 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.27004 2.2701 2.2701 2.2701 2.2701 
12 5.97107 2.75198 0 3.77809e-12 0.117808 0.117808 0.525752 0.525752 0.525752 0.525752 0.525752 0.525752 0.529216 0.529216 0.641855 0.641855 0.645283 0.645283 0.645283 0.645283 0.645283 0.645283 1.0515 1.0515 1.0515 1.0515 1.05325 1.05325 1.05325 1.05325 1.05325 1.05325 1.05667 1.05667 1.16761 1.16761 1.17103 1.17103 1.17103 1.17103 1.17103 1.17103 1.17278 1.17278 1.17278 1.17278 1.579 1.579 1.579 1.579 1.579 1.579 1.58242 1.58242 1.69506 1.69506 1.69853 1.69853 1.69853 1.69853 1.69853 1.69853 1.74684 1.74684 1.74684 1.74684 1.74684 1.74684 1.74731 1.74731 1.86442 1.86442 1.86488 1.86488 1.86488 1.86488 1.86488 1.86488 2.10647 2.10647 2.22428 2.22428 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27259 2.27293 2.27293 2.27293 2.27293 
14 5.95632 2.7755 0 9.52949e-12 0.27355 0.27355 0.528579 0.528579 0.528579 0.528579 0.528579 0.528579 0.555131 0.555131 0.790699 0.790699 0.814666 0.814666 0.814666 0.814666 0.814666 0.814666 1.05711 1.05711 1.05711 1.05711 1.07122 1.07122 1.07122 1.07122 1.07122 1.07122 1.09509 1.09509 1.31932 1.31932 1.3432 1.3432 1.3432 1.3432 1.3432 1.3432 1.35731 1.35731 1.35731 1.35731 1.59976 1.59976 1.59976 1.59976 1.59976 1.59976 1.62371 1.62371 1.74888 1.74888 1.74888 1.74888 1.74888 1.74888 1.75188 1.75188 1.85928 1.85928 1.88584 1.88584 1.88584 1.88584 1.88584 1.88584 2.02123 2.02123 2.02383 2.02383 2.02383 2.02383 2.02383 2.02383 2.14087 2.14087 2.27744 2.27744 2.27744 2.27744 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27746 2.27965 2.27965 2.27967 2.27967 2.27967 2.27967 
16 5.89116 2.87984 0 2.35181e-11 0.440073 0.440073 0.532289 0.532289 0.532289 0.532289 0.532289 0.532289 0.820316 0.820316 0.940887 0.940887 1.01096 1.01096 1.01096 1.01096 1.01096 1.01096 1.06439 1.06439 1.06439 1.06439 1.31434 1.31434 1.31434 1.31434 1.31434 1.31434 1.3836 1.3836 1.47341 1.47341 1.54305 1.54305 1.54305 1.54305 1.54305 1.54305 1.75273 1.75273 1.75273 1.75273 1.75273 1.75273 1.77456 1.77456 1.7931 1.7931 1.7931 1.7931 1.84636 1.84636 1.84636 1.84636 1.84636 1.84636 1.91606 1.91606 2.03696 2.03696 2.19498 2.19498 2.19843 2.19843 2.19843 2.19843 2.19843 2.19843 2.28492 2.28492 2.28492 2.28492 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.28503 2.30204 2.30204 2.30204 2.30204 2.30204 2.30204 2.30211 2.30211 2.32513 2.32513 2.32513 2.32513 2.32513 2.32513 
18 5.65886 3.11833 0 5.84943e-11 0.467077 0.467077 0.535817 0.535817 0.535817 0.535817 0.535817 0.535817 0.972397 0.972397 1.03604 1.03604 1.03604 1.03604 1.03604 1.03604 1.07117 1.07117 1.07117 1.07117 1.5033 1.5033 1.52667 1.52667 1.57138 1.57138 1.57138 1.57138 1.57138 1.57138 1.75835 1.75835 1.75835 1.75835 1.75835 1.75835 2.02994 2.02994 2.02994 2.02994 2.02994 2.02994 2.05657 2.05657 2.07868 2.07868 2.1258 2.1258 2.24313 2.24313 2.24436 2.24436 2.24436 2.24436 2.24436 2.24436 2.29381 2.29381 2.29381 2.29381 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.29418 2.53958 2.53958 2.53958 2.53958 2.55469 2.55469 2.55469 2.55469 2.55469 2.55469 2.59038 2.59038 2.63844 2.63844 2.63844 2.63844 2.63844 2.63844 2.66724 2.66724 2.73214 2.73214 2.76628 2.76628 2.76628 2.76628 
20 5.35422 2.93363 0 1.45805e-10 0.469647 0.469647 0.538482 0.538482 0.538482 0.538482 0.538482 0.538482 0.976568 0.976568 1.04192 1.04192 1.04192 1.04192 1.04192 1.04192 1.0762 1.0762 1.0762 1.0762 1.5152 1.5152 1.57963 1.57963 1.57963 1.57963 1.57963 1.57963 1.65325 1.65325 1.76424 1.76424 1.76424 1.76424 1.76424 1.76424 2.08437 2.08437 2.16322 2.16322 2.16322 2.16322 2.16322 2.16322 2.17034 2.17034 2.26018 2.26018 2.26093 2.26093 2.26093 2.26093 2.26093 2.26093 2.30196 2.30196 2.30196 2.30196 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.30274 2.6759 2.6759 2.6759 2.6759 2.6759 2.6759 2.68937 2.68937 2.68937 2.68937 2.70272 2.70272 2.74179 2.74179 2.79415 2.79415 2.79415 2.79415 2.79415 2.79415 2.80506 2.80506 2.80506 2.80506 2.80506 2.80506 2.80722 2.80722 
